model,seed,type_x_len_samples,test_type,ft_type,model_type,dataset,accuracy,type_1_len_5,type_1_len_6,type_1_len_7,type_1_len_8,type_1_len_9,type_2_len_6,type_2_len_7,type_2_len_8,type_2_len_9,type_2_len_10,type_3_len_15,type_3_len_16,type_3_len_17,type_3_len_18,type_3_len_19,type_4_len_7,type_4_len_8,type_4_len_9,type_4_len_10,type_4_len_11,type_5_len_15,type_5_len_16,type_5_len_17,type_5_len_18,type_5_len_19,type_6_len_14,type_6_len_15,type_6_len_16,type_6_len_17,type_6_len_18,type_7_len_9,type_7_len_10,type_7_len_11,type_7_len_12,type_7_len_13
qwen-1.5b,512,100,normal,lora,base,base,31.66,10.0,6.0,2.0,1.0,10.0,68.0,69.0,70.0,66.0,65.0,24.0,22.0,29.0,24.0,19.0,19.0,24.0,30.0,21.0,8.0,19.0,17.0,13.0,17.0,18.0,68.0,52.0,59.0,62.0,62.0,30.0,36.0,26.0,23.0,19.0
qwen-3b,512,100,normal,lora,meta,meta,55.66,37.0,21.0,27.0,17.0,19.0,80.0,68.0,68.0,70.0,68.0,56.0,56.0,43.0,44.0,43.0,41.0,45.0,47.0,30.0,33.0,87.0,84.0,72.0,76.0,65.0,88.0,80.0,79.0,73.0,74.0,57.0,55.0,51.0,53.0,41.0
qwen-7b,1596,100,normal,lora,meta,meta,57.8,40.0,31.0,28.0,26.0,28.0,77.0,72.0,67.0,63.0,63.0,60.0,54.0,46.0,46.0,46.0,38.0,38.0,49.0,26.0,13.0,91.0,85.0,85.0,77.0,73.0,89.0,79.0,74.0,80.0,77.0,65.0,62.0,67.0,53.0,55.0
qwen-7b,1596,100,normal,lora,base,base,45.94,16.0,16.0,17.0,9.0,14.0,78.0,81.0,83.0,77.0,86.0,50.0,31.0,34.0,32.0,33.0,37.0,32.0,43.0,42.0,22.0,20.0,23.0,19.0,27.0,31.0,94.0,94.0,88.0,90.0,92.0,47.0,46.0,43.0,30.0,31.0
qwen-1.5b,1596,100,normal,lora,meta,meta,46.94,38.0,25.0,20.0,21.0,16.0,67.0,66.0,55.0,62.0,55.0,49.0,42.0,34.0,36.0,30.0,26.0,27.0,28.0,17.0,15.0,80.0,75.0,71.0,55.0,59.0,78.0,76.0,75.0,60.0,57.0,51.0,49.0,48.0,44.0,36.0
qwen-1.5b,1596,100,normal,lora,base,base,28.63,11.0,10.0,10.0,6.0,11.0,67.0,69.0,63.0,58.0,56.0,24.0,17.0,22.0,15.0,12.0,20.0,20.0,16.0,14.0,3.0,22.0,24.0,15.0,10.0,18.0,69.0,59.0,49.0,57.0,49.0,30.0,24.0,20.0,19.0,13.0
qwen-3b,512,100,normal,lora,base,base,43.51,20.0,18.0,14.0,16.0,10.0,82.0,73.0,76.0,69.0,75.0,49.0,42.0,44.0,34.0,23.0,24.0,26.0,39.0,29.0,6.0,35.0,32.0,29.0,34.0,34.0,85.0,82.0,73.0,79.0,86.0,48.0,37.0,39.0,31.0,30.0
qwen-3b,1596,100,normal,lora,meta,meta,49.97,36.0,24.0,20.0,12.0,19.0,71.0,72.0,62.0,64.0,59.0,48.0,50.0,34.0,31.0,33.0,28.0,28.0,32.0,26.0,18.0,83.0,82.0,70.0,70.0,65.0,75.0,74.0,72.0,72.0,53.0,64.0,55.0,52.0,49.0,46.0
qwen-3b,1596,100,normal,lora,base,base,45.8,17.0,17.0,16.0,14.0,15.0,76.0,81.0,75.0,77.0,79.0,51.0,37.0,44.0,26.0,34.0,29.0,26.0,35.0,28.0,7.0,28.0,36.0,33.0,31.0,38.0,89.0,84.0,91.0,91.0,93.0,47.0,47.0,46.0,26.0,39.0
qwen-1.5b,1048,1000,ood_words,lora,meta,meta,73.43,68.0,60.0,54.0,52.0,42.0,87.0,84.0,75.0,73.0,73.0,80.0,69.0,64.0,68.0,65.0,61.0,57.0,56.0,48.0,31.0,96.0,89.0,89.0,91.0,92.0,93.0,91.0,91.0,98.0,95.0,82.0,79.0,75.0,76.0,66.0
qwen-1.5b,1048,1000,ood_constants,lora,meta,meta,35.89,49.0,26.0,27.0,15.0,18.0,52.0,36.0,33.0,21.0,17.0,43.0,32.0,25.0,24.0,23.0,23.0,22.0,14.0,12.0,2.0,65.0,64.0,57.0,50.0,46.0,76.0,66.0,59.0,60.0,46.0,42.0,41.0,27.0,24.0,19.0
qwen-1.5b,1048,1000,ood_words,lora,base,base,62.89,44.0,34.0,25.0,14.0,8.0,93.0,89.0,91.0,87.0,89.0,66.0,68.0,71.0,71.0,65.0,66.0,60.0,62.0,58.0,35.0,55.0,59.0,47.0,42.0,42.0,94.0,92.0,90.0,89.0,88.0,77.0,62.0,66.0,57.0,45.0
qwen-1.5b,1048,1000,ood_constants,lora,base,base,17.86,9.0,3.0,3.0,2.0,2.0,63.0,48.0,42.0,47.0,51.0,19.0,15.0,8.0,9.0,9.0,18.0,20.0,27.0,16.0,9.0,3.0,3.0,6.0,3.0,2.0,44.0,34.0,28.0,21.0,19.0,5.0,11.0,15.0,5.0,6.0
qwen-1.5b,1048,1000,ood_support,lora,meta,meta,90.51,71.0,71.0,72.0,75.0,65.0,94.0,90.0,92.0,96.0,93.0,91.0,94.0,96.0,98.0,95.0,83.0,78.0,84.0,90.0,80.0,96.0,97.0,96.0,98.0,98.0,100.0,100.0,100.0,100.0,100.0,93.0,96.0,95.0,95.0,96.0
qwen-1.5b,512,1000,ood_words,lora,meta,meta,77.14,79.0,64.0,52.0,58.0,50.0,87.0,79.0,87.0,83.0,75.0,83.0,74.0,70.0,74.0,66.0,63.0,63.0,58.0,60.0,46.0,95.0,94.0,90.0,89.0,86.0,93.0,92.0,92.0,98.0,92.0,84.0,82.0,84.0,84.0,74.0
qwen-1.5b,512,1000,ood_constants,lora,meta,meta,33.91,49.0,24.0,21.0,16.0,17.0,47.0,33.0,25.0,21.0,14.0,36.0,36.0,29.0,21.0,27.0,23.0,24.0,14.0,8.0,5.0,69.0,57.0,54.0,46.0,46.0,72.0,49.0,55.0,53.0,41.0,52.0,37.0,31.0,19.0,16.0
qwen-1.5b,512,1000,ood_words,lora,base,base,63.31,48.0,40.0,32.0,20.0,15.0,91.0,90.0,91.0,93.0,87.0,68.0,65.0,70.0,60.0,61.0,61.0,55.0,71.0,49.0,31.0,58.0,58.0,50.0,47.0,41.0,96.0,96.0,97.0,94.0,97.0,78.0,64.0,60.0,40.0,42.0
qwen-1.5b,512,1000,ood_constants,lora,base,base,19.54,16.0,16.0,10.0,2.0,10.0,61.0,49.0,46.0,49.0,47.0,16.0,17.0,13.0,9.0,9.0,20.0,22.0,15.0,18.0,9.0,3.0,2.0,1.0,2.0,1.0,49.0,46.0,34.0,36.0,31.0,9.0,8.0,5.0,1.0,2.0
qwen-1.5b,512,1000,ood_support,lora,meta,meta,92.14,75.0,77.0,76.0,77.0,70.0,94.0,90.0,98.0,92.0,97.0,89.0,96.0,99.0,95.0,96.0,78.0,86.0,88.0,95.0,89.0,97.0,99.0,98.0,99.0,99.0,100.0,100.0,100.0,99.0,100.0,90.0,98.0,96.0,98.0,95.0
qwen-1.5b,1596,1000,ood_words,lora,meta,meta,79.49,81.0,65.0,59.0,58.0,65.0,94.0,81.0,85.0,85.0,85.0,86.0,72.0,68.0,70.0,65.0,78.0,73.0,66.0,65.0,55.0,97.0,93.0,87.0,91.0,91.0,96.0,94.0,89.0,93.0,89.0,90.0,79.0,80.0,80.0,77.0
qwen-1.5b,1596,1000,ood_constants,lora,meta,meta,32.8,49.0,32.0,19.0,21.0,18.0,45.0,34.0,26.0,29.0,21.0,43.0,31.0,25.0,21.0,22.0,21.0,23.0,11.0,11.0,5.0,68.0,55.0,45.0,34.0,39.0,61.0,53.0,55.0,51.0,39.0,47.0,34.0,30.0,18.0,12.0
qwen-1.5b,1596,1000,ood_words,lora,base,base,59.91,49.0,40.0,31.0,20.0,11.0,94.0,87.0,89.0,82.0,86.0,74.0,67.0,67.0,55.0,59.0,63.0,60.0,60.0,50.0,30.0,47.0,47.0,42.0,34.0,28.0,90.0,95.0,93.0,89.0,91.0,70.0,56.0,60.0,42.0,39.0
qwen-1.5b,1596,1000,ood_constants,lora,base,base,18.2,15.0,11.0,6.0,3.0,3.0,62.0,54.0,41.0,43.0,37.0,15.0,12.0,12.0,14.0,14.0,16.0,24.0,18.0,17.0,3.0,2.0,0.0,1.0,1.0,2.0,50.0,39.0,33.0,28.0,31.0,9.0,8.0,8.0,1.0,4.0
qwen-1.5b,1596,1000,ood_support,lora,meta,meta,92.6,78.0,78.0,76.0,81.0,74.0,96.0,96.0,93.0,96.0,96.0,90.0,92.0,95.0,96.0,93.0,86.0,91.0,88.0,94.0,91.0,95.0,100.0,97.0,100.0,97.0,100.0,100.0,100.0,99.0,100.0,94.0,97.0,94.0,93.0,95.0
qwen-7b,512,1000,ood_constants,lora,meta,meta,54.69,61.0,42.0,28.0,38.0,32.0,72.0,67.0,64.0,61.0,65.0,58.0,44.0,42.0,42.0,40.0,39.0,41.0,38.0,39.0,27.0,81.0,72.0,68.0,68.0,60.0,79.0,71.0,71.0,70.0,58.0,59.0,64.0,53.0,47.0,53.0
qwen-3b,1048,1000,ood_words,lora,meta,meta,87.46,82.0,79.0,72.0,77.0,73.0,96.0,97.0,95.0,87.0,89.0,94.0,88.0,85.0,80.0,79.0,86.0,81.0,83.0,71.0,57.0,100.0,98.0,97.0,96.0,92.0,98.0,93.0,97.0,96.0,93.0,93.0,90.0,88.0,91.0,88.0
qwen-3b,1048,1000,ood_constants,lora,meta,meta,44.46,56.0,34.0,27.0,26.0,17.0,73.0,55.0,38.0,45.0,34.0,52.0,42.0,33.0,37.0,30.0,43.0,40.0,24.0,23.0,21.0,74.0,69.0,59.0,48.0,44.0,71.0,59.0,56.0,59.0,46.0,57.0,46.0,49.0,38.0,31.0
qwen-7b,1048,1000,ood_words,lora,meta,meta,88.0,84.0,72.0,67.0,72.0,59.0,99.0,94.0,93.0,96.0,91.0,94.0,81.0,86.0,79.0,79.0,88.0,80.0,84.0,78.0,68.0,100.0,98.0,96.0,99.0,98.0,97.0,98.0,99.0,97.0,95.0,95.0,89.0,94.0,92.0,89.0
qwen-7b,1048,1000,ood_constants,lora,meta,meta,54.54,53.0,36.0,28.0,24.0,21.0,71.0,70.0,75.0,60.0,59.0,63.0,52.0,49.0,51.0,41.0,37.0,44.0,45.0,45.0,25.0,79.0,75.0,73.0,61.0,66.0,75.0,69.0,71.0,69.0,59.0,60.0,58.0,53.0,43.0,49.0
qwen-3b,1048,1000,ood_words,lora,base,base,73.69,63.0,69.0,58.0,51.0,36.0,98.0,93.0,96.0,93.0,93.0,80.0,72.0,70.0,70.0,65.0,74.0,79.0,71.0,60.0,53.0,73.0,72.0,66.0,64.0,57.0,94.0,93.0,93.0,90.0,91.0,80.0,72.0,73.0,64.0,53.0
qwen-3b,1048,1000,ood_constants,lora,base,base,25.83,23.0,15.0,12.0,13.0,9.0,62.0,61.0,38.0,44.0,49.0,31.0,32.0,31.0,20.0,13.0,37.0,20.0,17.0,21.0,9.0,11.0,11.0,7.0,8.0,7.0,59.0,52.0,44.0,38.0,37.0,25.0,17.0,17.0,6.0,8.0
qwen-3b,1048,1000,ood_support,lora,meta,meta,96.0,86.0,79.0,79.0,85.0,77.0,99.0,97.0,99.0,97.0,99.0,97.0,98.0,99.0,99.0,99.0,93.0,96.0,97.0,99.0,94.0,98.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,99.0,98.0,100.0,100.0
qwen-7b,1048,1000,ood_words,lora,base,base,80.29,71.0,63.0,63.0,56.0,43.0,100.0,100.0,98.0,97.0,98.0,84.0,80.0,85.0,81.0,82.0,87.0,84.0,84.0,78.0,56.0,74.0,78.0,65.0,60.0,59.0,100.0,100.0,100.0,99.0,100.0,88.0,88.0,79.0,69.0,61.0
qwen-3b,512,1000,ood_words,lora,meta,meta,87.91,82.0,85.0,73.0,73.0,71.0,96.0,98.0,95.0,93.0,91.0,91.0,90.0,81.0,80.0,77.0,81.0,83.0,82.0,63.0,55.0,100.0,99.0,98.0,96.0,96.0,95.0,95.0,96.0,97.0,95.0,99.0,92.0,93.0,91.0,95.0
qwen-7b,1048,1000,ood_constants,lora,base,base,31.66,30.0,28.0,12.0,22.0,13.0,66.0,66.0,59.0,55.0,51.0,39.0,35.0,23.0,20.0,18.0,40.0,41.0,34.0,27.0,14.0,10.0,11.0,11.0,11.0,6.0,55.0,60.0,44.0,49.0,46.0,32.0,28.0,28.0,14.0,10.0
qwen-3b,512,1000,ood_constants,lora,meta,meta,43.94,54.0,30.0,32.0,30.0,14.0,70.0,57.0,43.0,36.0,31.0,57.0,40.0,37.0,28.0,34.0,48.0,35.0,22.0,27.0,24.0,73.0,67.0,64.0,51.0,49.0,66.0,60.0,54.0,53.0,40.0,56.0,50.0,42.0,33.0,31.0
qwen-7b,1048,1000,ood_support,lora,meta,meta,96.8,90.0,92.0,90.0,87.0,84.0,99.0,98.0,97.0,96.0,100.0,97.0,97.0,98.0,98.0,99.0,95.0,92.0,95.0,98.0,98.0,97.0,100.0,99.0,98.0,99.0,100.0,100.0,100.0,100.0,100.0,98.0,100.0,98.0,99.0,100.0
qwen-3b,512,1000,ood_words,lora,base,base,75.26,63.0,60.0,54.0,47.0,29.0,97.0,96.0,97.0,98.0,98.0,82.0,81.0,77.0,77.0,69.0,80.0,80.0,75.0,77.0,58.0,53.0,59.0,53.0,48.0,47.0,98.0,97.0,97.0,97.0,99.0,84.0,92.0,78.0,71.0,66.0
qwen-3b,512,1000,ood_constants,lora,base,base,33.37,32.0,24.0,18.0,14.0,12.0,76.0,70.0,61.0,64.0,64.0,39.0,32.0,24.0,23.0,22.0,44.0,42.0,29.0,27.0,12.0,13.0,12.0,15.0,9.0,10.0,65.0,57.0,53.0,45.0,43.0,28.0,36.0,28.0,14.0,11.0
qwen-3b,512,1000,ood_support,lora,meta,meta,96.31,86.0,87.0,82.0,88.0,81.0,95.0,97.0,97.0,97.0,100.0,96.0,98.0,99.0,99.0,100.0,90.0,96.0,98.0,100.0,95.0,96.0,98.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,98.0,100.0,100.0
qwen-3b,512,1000,ood_support,lora,meta,meta,96.31,86.0,87.0,82.0,88.0,81.0,95.0,97.0,97.0,97.0,100.0,96.0,98.0,99.0,99.0,100.0,90.0,96.0,98.0,100.0,95.0,96.0,98.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,98.0,100.0,100.0
qwen-7b,512,1000,ood_support,lora,meta,meta,96.71,85.0,82.0,86.0,89.0,82.0,100.0,100.0,99.0,96.0,99.0,95.0,97.0,100.0,100.0,99.0,94.0,96.0,97.0,99.0,99.0,98.0,99.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,99.0,100.0,99.0,99.0
qwen-3b,1596,1000,ood_words,lora,meta,meta,85.57,84.0,78.0,75.0,73.0,69.0,95.0,99.0,89.0,83.0,88.0,89.0,88.0,78.0,75.0,67.0,82.0,78.0,79.0,70.0,54.0,97.0,97.0,95.0,93.0,89.0,99.0,95.0,98.0,98.0,94.0,91.0,91.0,89.0,94.0,82.0
qwen-3b,1596,1000,ood_constants,lora,meta,meta,43.23,59.0,39.0,38.0,28.0,25.0,66.0,59.0,46.0,42.0,43.0,47.0,36.0,31.0,27.0,24.0,40.0,40.0,29.0,18.0,13.0,74.0,65.0,60.0,49.0,44.0,67.0,52.0,57.0,44.0,35.0,53.0,50.0,47.0,33.0,33.0
qwen-7b,512,1000,ood_words,lora,meta,meta,89.89,88.0,79.0,76.0,71.0,75.0,98.0,94.0,96.0,97.0,90.0,92.0,83.0,85.0,76.0,72.0,86.0,88.0,86.0,77.0,65.0,100.0,99.0,100.0,99.0,96.0,100.0,98.0,100.0,100.0,97.0,98.0,99.0,96.0,97.0,93.0
qwen-7b,512,1000,ood_constants,lora,meta,meta,54.69,61.0,42.0,28.0,38.0,32.0,72.0,67.0,64.0,61.0,65.0,58.0,44.0,42.0,42.0,40.0,39.0,41.0,38.0,39.0,27.0,81.0,72.0,68.0,68.0,60.0,79.0,71.0,71.0,70.0,58.0,59.0,64.0,53.0,47.0,53.0
qwen-3b,1596,1000,ood_words,lora,base,base,75.77,62.0,65.0,62.0,48.0,48.0,97.0,97.0,98.0,92.0,97.0,83.0,83.0,81.0,72.0,69.0,81.0,86.0,80.0,70.0,54.0,66.0,71.0,61.0,54.0,53.0,98.0,98.0,98.0,99.0,96.0,79.0,74.0,69.0,60.0,51.0
qwen-3b,1596,1000,ood_constants,lora,base,base,32.03,22.0,22.0,22.0,13.0,10.0,68.0,59.0,55.0,66.0,56.0,43.0,31.0,30.0,28.0,18.0,41.0,40.0,40.0,32.0,13.0,16.0,16.0,11.0,11.0,10.0,63.0,51.0,56.0,45.0,43.0,32.0,23.0,17.0,9.0,9.0
qwen-7b,512,1000,ood_words,lora,base,base,82.17,77.0,76.0,74.0,61.0,49.0,99.0,99.0,97.0,97.0,94.0,80.0,74.0,82.0,81.0,70.0,83.0,80.0,81.0,80.0,53.0,84.0,85.0,76.0,75.0,66.0,98.0,100.0,98.0,98.0,98.0,89.0,89.0,81.0,80.0,72.0
