model,seed,type_x_len_samples,test_type,ft_type,model_type,dataset,accuracy,type_1_len_0,type_1_len_1,type_1_len_2,type_1_len_3,type_1_len_4,type_2_len_1,type_2_len_2,type_2_len_3,type_2_len_4,type_2_len_5,type_3_len_0,type_3_len_1,type_3_len_2,type_3_len_3,type_3_len_4,type_4_len_1,type_4_len_2,type_4_len_3,type_4_len_4,type_4_len_5,type_5_len_7,type_5_len_8,type_5_len_9,type_5_len_10,type_5_len_11,type_6_len_0,type_6_len_1,type_6_len_2,type_6_len_3,type_6_len_4,type_7_len_0,type_7_len_1,type_7_len_2,type_7_len_3,type_7_len_4
qwen-1.5b,1048,100,ood_constants,lora,base,meta,36.66,0.0,5.0,10.0,16.0,23.0,54.0,73.0,73.0,67.0,66.0,0.0,33.0,56.0,61.0,55.0,21.0,36.0,27.0,32.0,29.0,17.0,17.0,25.0,23.0,35.0,0.0,41.0,86.0,88.0,85.0,0.0,13.0,35.0,37.0,44.0
qwen-1.5b,1048,100,ood_words,lora,base,meta,42.11,0.0,8.0,14.0,16.0,18.0,60.0,81.0,78.0,66.0,73.0,0.0,53.0,57.0,66.0,54.0,17.0,24.0,26.0,26.0,28.0,34.0,35.0,31.0,47.0,56.0,0.0,74.0,91.0,90.0,89.0,0.0,15.0,48.0,42.0,57.0
qwen-1.5b,1048,100,ood_support,lora,base,meta,46.8,0.0,12.0,14.0,23.0,19.0,63.0,78.0,79.0,72.0,64.0,2.0,75.0,71.0,65.0,58.0,33.0,38.0,25.0,31.0,32.0,42.0,51.0,54.0,50.0,44.0,3.0,87.0,89.0,80.0,86.0,0.0,38.0,54.0,56.0,50.0
qwen-1.5b,1596,100,normal,lora,base,meta,42.11,0.0,9.0,13.0,18.0,21.0,59.0,77.0,86.0,76.0,75.0,0.0,53.0,56.0,59.0,51.0,26.0,29.0,28.0,33.0,29.0,27.0,27.0,34.0,41.0,56.0,0.0,74.0,87.0,88.0,82.0,0.0,14.0,43.0,43.0,60.0
qwen-1.5b,1596,100,ood_constants,lora,base,meta,38.17,0.0,5.0,12.0,21.0,25.0,65.0,79.0,72.0,64.0,69.0,0.0,50.0,61.0,65.0,53.0,42.0,42.0,33.0,30.0,29.0,9.0,19.0,15.0,20.0,30.0,0.0,49.0,82.0,89.0,88.0,0.0,8.0,35.0,33.0,42.0
qwen-1.5b,1596,100,ood_words,lora,base,meta,42.57,0.0,9.0,13.0,19.0,23.0,60.0,83.0,83.0,70.0,74.0,0.0,51.0,58.0,64.0,57.0,27.0,22.0,30.0,32.0,24.0,25.0,23.0,31.0,51.0,54.0,0.0,78.0,87.0,88.0,88.0,0.0,18.0,42.0,44.0,62.0
qwen-1.5b,1596,100,ood_support,lora,base,meta,45.86,0.0,16.0,26.0,20.0,19.0,68.0,72.0,79.0,74.0,68.0,4.0,58.0,67.0,60.0,45.0,37.0,42.0,38.0,33.0,30.0,45.0,43.0,47.0,47.0,48.0,19.0,84.0,90.0,80.0,72.0,0.0,37.0,46.0,48.0,43.0
qwen-1.5b,512,100,normal,lora,base,meta,44.03,0.0,5.0,14.0,18.0,24.0,62.0,78.0,84.0,71.0,80.0,0.0,51.0,62.0,63.0,53.0,13.0,27.0,31.0,34.0,36.0,33.0,32.0,39.0,51.0,58.0,0.0,65.0,89.0,89.0,92.0,0.0,9.0,46.0,55.0,77.0
qwen-1.5b,512,100,ood_constants,lora,base,meta,41.37,0.0,0.0,11.0,17.0,23.0,66.0,79.0,77.0,66.0,68.0,0.0,60.0,73.0,69.0,58.0,36.0,37.0,30.0,28.0,32.0,24.0,27.0,29.0,44.0,47.0,0.0,50.0,82.0,88.0,91.0,0.0,7.0,39.0,40.0,50.0
qwen-1.5b,512,100,ood_words,lora,base,meta,44.91,0.0,3.0,14.0,21.0,17.0,61.0,81.0,91.0,78.0,71.0,0.0,47.0,61.0,70.0,67.0,18.0,25.0,28.0,30.0,37.0,39.0,42.0,39.0,62.0,65.0,0.0,58.0,88.0,89.0,93.0,0.0,8.0,47.0,55.0,67.0
qwen-1.5b,512,100,ood_support,lora,base,meta,46.89,0.0,8.0,18.0,18.0,22.0,61.0,78.0,80.0,67.0,65.0,4.0,64.0,69.0,57.0,52.0,39.0,39.0,28.0,35.0,23.0,55.0,47.0,49.0,55.0,39.0,28.0,84.0,84.0,88.0,78.0,0.0,30.0,57.0,61.0,59.0
qwen-1.5b,1048,1000,normal,lora,base,meta,60.97,0.0,4.0,16.0,22.0,45.0,74.0,87.0,95.0,91.0,90.0,22.0,87.0,77.0,80.0,69.0,55.0,56.0,58.0,58.0,63.0,58.0,63.0,63.0,74.0,72.0,6.0,99.0,99.0,98.0,97.0,0.0,36.0,63.0,73.0,84.0
qwen-1.5b,1048,1000,ood_constants,lora,base,meta,53.51,0.0,2.0,14.0,31.0,50.0,77.0,84.0,87.0,75.0,80.0,1.0,83.0,70.0,71.0,63.0,63.0,46.0,40.0,45.0,44.0,35.0,45.0,46.0,65.0,52.0,0.0,94.0,95.0,95.0,92.0,0.0,29.0,61.0,64.0,74.0
