model,seed,type_x_len_samples,test_type,ft_type,model_type,dataset,accuracy,type_1_len_0,type_1_len_1,type_1_len_2,type_1_len_3,type_1_len_4,type_1_len_5,type_1_len_6,type_1_len_7,type_1_len_8,type_1_len_9,type_2_len_1,type_2_len_2,type_2_len_3,type_2_len_4,type_2_len_5,type_2_len_6,type_2_len_7,type_2_len_8,type_2_len_9,type_2_len_10,type_3_len_0,type_3_len_1,type_3_len_2,type_3_len_3,type_3_len_4,type_3_len_5,type_3_len_6,type_3_len_7,type_3_len_8,type_3_len_9,type_3_len_10,type_3_len_11,type_3_len_12,type_3_len_13,type_3_len_14,type_3_len_15,type_3_len_16,type_3_len_17,type_3_len_18,type_3_len_19,type_4_len_1,type_4_len_2,type_4_len_3,type_4_len_4,type_4_len_5,type_4_len_6,type_4_len_7,type_4_len_8,type_4_len_9,type_4_len_10,type_4_len_11,type_5_len_7,type_5_len_8,type_5_len_9,type_5_len_10,type_5_len_11,type_5_len_12,type_5_len_13,type_5_len_14,type_5_len_15,type_5_len_16,type_5_len_17,type_5_len_18,type_5_len_19,type_6_len_0,type_6_len_1,type_6_len_2,type_6_len_3,type_6_len_4,type_6_len_5,type_6_len_6,type_6_len_7,type_6_len_8,type_6_len_9,type_6_len_10,type_6_len_11,type_6_len_12,type_6_len_13,type_6_len_14,type_6_len_15,type_6_len_16,type_6_len_17,type_6_len_18,type_7_len_0,type_7_len_1,type_7_len_2,type_7_len_3,type_7_len_4,type_7_len_5,type_7_len_6,type_7_len_7,type_7_len_8,type_7_len_9,type_7_len_10,type_7_len_11,type_7_len_12,type_7_len_13
qwen-1.5b,1596,1000,ood_words,lora,meta,meta,93.07,99.0,92.0,89.0,84.0,83.0,82.0,88.0,79.0,76.0,82.0,100.0,98.0,97.0,92.0,92.0,94.0,90.0,93.0,96.0,93.0,100.0,99.0,97.0,95.0,89.0,88.0,81.0,92.0,88.0,88.0,81.0,90.0,86.0,85.0,86.0,92.0,89.0,92.0,92.0,92.0,91.0,90.0,82.0,88.0,85.0,86.0,87.0,88.0,92.0,91.0,88.0,94.0,97.0,96.0,92.0,98.0,97.0,95.0,96.0,97.0,97.0,97.0,93.0,98.0,100.0,100.0,100.0,100.0,99.0,98.0,100.0,99.0,98.0,100.0,97.0,99.0,99.0,98.0,99.0,100.0,100.0,96.0,96.0,99.0,100.0,97.0,96.0,99.0,94.0,95.0,96.0,99.0,91.0,94.0,92.0,94.0,88.0
qwen-1.5b,1596,1000,ood_constants,lora,meta,meta,75.02,98.0,84.0,71.0,69.0,67.0,66.0,59.0,57.0,57.0,52.0,93.0,90.0,83.0,77.0,73.0,72.0,65.0,73.0,63.0,61.0,100.0,99.0,91.0,83.0,73.0,69.0,58.0,74.0,71.0,65.0,64.0,64.0,68.0,58.0,54.0,59.0,59.0,61.0,50.0,51.0,89.0,75.0,51.0,47.0,50.0,49.0,47.0,51.0,47.0,46.0,43.0,89.0,91.0,84.0,82.0,88.0,83.0,89.0,92.0,91.0,86.0,86.0,80.0,85.0,100.0,99.0,99.0,98.0,94.0,93.0,95.0,92.0,87.0,84.0,87.0,83.0,87.0,88.0,85.0,83.0,79.0,78.0,71.0,99.0,97.0,89.0,85.0,82.0,74.0,65.0,78.0,76.0,67.0,69.0,60.0,69.0,63.0
qwen-1.5b,1596,1000,ood_words,lora,base,base,83.82,100.0,89.0,84.0,80.0,75.0,70.0,65.0,73.0,68.0,70.0,100.0,100.0,99.0,95.0,93.0,90.0,90.0,92.0,91.0,95.0,99.0,97.0,97.0,88.0,87.0,86.0,78.0,77.0,72.0,74.0,63.0,69.0,74.0,66.0,73.0,74.0,72.0,77.0,73.0,66.0,97.0,95.0,88.0,88.0,81.0,77.0,77.0,73.0,79.0,74.0,57.0,71.0,74.0,65.0,84.0,79.0,75.0,75.0,83.0,74.0,77.0,73.0,75.0,77.0,100.0,98.0,100.0,97.0,95.0,100.0,95.0,97.0,93.0,97.0,88.0,91.0,93.0,88.0,95.0,92.0,92.0,87.0,94.0,99.0,97.0,97.0,98.0,90.0,93.0,88.0,82.0,83.0,83.0,74.0,72.0,71.0,63.0
qwen-1.5b,1596,1000,ood_constants,lora,base,base,38.1,94.0,77.0,67.0,45.0,48.0,38.0,36.0,19.0,30.0,35.0,94.0,91.0,72.0,67.0,67.0,52.0,50.0,48.0,50.0,44.0,93.0,80.0,74.0,58.0,43.0,35.0,27.0,28.0,25.0,25.0,20.0,20.0,12.0,21.0,9.0,19.0,18.0,11.0,14.0,11.0,88.0,71.0,46.0,35.0,34.0,23.0,24.0,27.0,25.0,17.0,8.0,10.0,20.0,11.0,16.0,10.0,7.0,11.0,11.0,9.0,8.0,7.0,8.0,11.0,99.0,96.0,88.0,80.0,74.0,66.0,61.0,53.0,55.0,41.0,44.0,39.0,46.0,31.0,44.0,45.0,31.0,31.0,31.0,89.0,53.0,40.0,32.0,29.0,22.0,20.0,8.0,11.0,10.0,8.0,8.0,1.0,6.0
qwen-3b,1048,1000,ood_words,lora,meta,meta,96.33,96.0,95.0,90.0,90.0,91.0,90.0,91.0,84.0,85.0,91.0,100.0,99.0,99.0,100.0,96.0,94.0,94.0,99.0,96.0,96.0,99.0,98.0,99.0,93.0,98.0,94.0,96.0,95.0,94.0,99.0,94.0,97.0,95.0,94.0,94.0,95.0,93.0,94.0,97.0,97.0,98.0,96.0,93.0,89.0,91.0,90.0,97.0,93.0,94.0,98.0,94.0,96.0,97.0,94.0,91.0,96.0,100.0,98.0,100.0,99.0,99.0,96.0,97.0,99.0,96.0,98.0,99.0,100.0,99.0,98.0,99.0,98.0,97.0,99.0,100.0,99.0,99.0,99.0,100.0,100.0,99.0,100.0,98.0,97.0,99.0,99.0,98.0,100.0,100.0,97.0,100.0,100.0,98.0,100.0,95.0,100.0,98.0
qwen-3b,1048,1000,ood_constants,lora,meta,meta,84.13,92.0,86.0,85.0,76.0,78.0,79.0,75.0,66.0,61.0,63.0,97.0,95.0,89.0,88.0,81.0,86.0,87.0,78.0,78.0,75.0,99.0,99.0,98.0,95.0,92.0,89.0,78.0,81.0,82.0,80.0,72.0,76.0,75.0,64.0,67.0,77.0,70.0,77.0,66.0,67.0,90.0,79.0,68.0,66.0,79.0,69.0,63.0,66.0,74.0,72.0,71.0,95.0,96.0,94.0,93.0,96.0,95.0,96.0,94.0,97.0,94.0,88.0,81.0,90.0,97.0,99.0,98.0,99.0,99.0,98.0,95.0,95.0,91.0,90.0,90.0,88.0,92.0,88.0,87.0,88.0,84.0,66.0,73.0,99.0,98.0,93.0,90.0,94.0,87.0,85.0,89.0,89.0,82.0,83.0,77.0,80.0,73.0
qwen-3b,1048,1000,ood_words,lora,base,base,92.08,100.0,98.0,96.0,86.0,82.0,78.0,77.0,76.0,74.0,79.0,100.0,100.0,100.0,100.0,98.0,100.0,97.0,99.0,98.0,99.0,100.0,98.0,98.0,94.0,95.0,90.0,90.0,89.0,91.0,91.0,87.0,87.0,92.0,87.0,90.0,89.0,92.0,88.0,88.0,82.0,98.0,96.0,93.0,90.0,92.0,87.0,94.0,95.0,92.0,89.0,89.0,85.0,78.0,81.0,88.0,88.0,88.0,85.0,82.0,80.0,79.0,81.0,82.0,83.0,100.0,100.0,99.0,99.0,100.0,100.0,99.0,100.0,99.0,99.0,98.0,100.0,98.0,99.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,98.0,100.0,96.0,98.0,91.0,90.0,86.0,87.0,91.0,82.0,88.0,87.0
qwen-7b,1048,1000,ood_words,lora,meta,meta,98.7,100.0,98.0,97.0,99.0,95.0,96.0,96.0,94.0,94.0,95.0,100.0,100.0,100.0,98.0,100.0,100.0,100.0,100.0,98.0,100.0,99.0,100.0,100.0,98.0,99.0,99.0,98.0,99.0,100.0,96.0,96.0,95.0,98.0,99.0,97.0,97.0,99.0,99.0,95.0,98.0,99.0,95.0,96.0,96.0,95.0,97.0,99.0,100.0,100.0,99.0,96.0,99.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,99.0,100.0,99.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
qwen-3b,1048,1000,ood_constants,lora,base,base,51.99,98.0,87.0,76.0,52.0,44.0,37.0,31.0,43.0,28.0,33.0,100.0,93.0,89.0,83.0,74.0,77.0,71.0,60.0,60.0,64.0,99.0,94.0,82.0,77.0,68.0,63.0,55.0,48.0,55.0,49.0,45.0,38.0,39.0,35.0,38.0,37.0,27.0,34.0,24.0,17.0,90.0,79.0,67.0,58.0,64.0,45.0,49.0,58.0,50.0,38.0,30.0,27.0,26.0,28.0,35.0,26.0,25.0,29.0,20.0,13.0,11.0,16.0,10.0,16.0,100.0,96.0,87.0,79.0,83.0,74.0,72.0,58.0,67.0,62.0,59.0,52.0,60.0,50.0,62.0,48.0,46.0,42.0,37.0,94.0,68.0,67.0,58.0,50.0,48.0,36.0,29.0,32.0,18.0,22.0,20.0,20.0,13.0
qwen-7b,1048,1000,ood_constants,lora,meta,meta,86.78,95.0,90.0,84.0,79.0,79.0,84.0,74.0,67.0,65.0,64.0,100.0,92.0,89.0,80.0,86.0,88.0,88.0,80.0,80.0,82.0,98.0,97.0,96.0,92.0,91.0,90.0,81.0,84.0,87.0,78.0,82.0,81.0,80.0,69.0,75.0,82.0,79.0,77.0,79.0,77.0,93.0,84.0,78.0,75.0,74.0,71.0,68.0,68.0,78.0,76.0,73.0,99.0,95.0,96.0,95.0,95.0,98.0,99.0,93.0,98.0,94.0,92.0,92.0,88.0,96.0,100.0,99.0,97.0,97.0,99.0,96.0,93.0,93.0,91.0,91.0,89.0,91.0,97.0,90.0,91.0,87.0,82.0,74.0,93.0,99.0,97.0,96.0,97.0,91.0,90.0,92.0,94.0,85.0,83.0,83.0,86.0,86.0
qwen-3b,1048,1000,ood_words,lora,base,base,92.08,100.0,98.0,96.0,86.0,82.0,78.0,77.0,76.0,74.0,79.0,100.0,100.0,100.0,100.0,98.0,100.0,97.0,99.0,98.0,99.0,100.0,98.0,98.0,94.0,95.0,90.0,90.0,89.0,91.0,91.0,87.0,87.0,92.0,87.0,90.0,89.0,92.0,88.0,88.0,82.0,98.0,96.0,93.0,90.0,92.0,87.0,94.0,95.0,92.0,89.0,89.0,85.0,78.0,81.0,88.0,88.0,88.0,85.0,82.0,80.0,79.0,81.0,82.0,83.0,100.0,100.0,99.0,99.0,100.0,100.0,99.0,100.0,99.0,99.0,98.0,100.0,98.0,99.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,98.0,100.0,96.0,98.0,91.0,90.0,86.0,87.0,91.0,82.0,88.0,87.0
qwen-3b,1048,1000,ood_constants,lora,base,base,51.99,98.0,87.0,76.0,52.0,44.0,37.0,31.0,43.0,28.0,33.0,100.0,93.0,89.0,83.0,74.0,77.0,71.0,60.0,60.0,64.0,99.0,94.0,82.0,77.0,68.0,63.0,55.0,48.0,55.0,49.0,45.0,38.0,39.0,35.0,38.0,37.0,27.0,34.0,24.0,17.0,90.0,79.0,67.0,58.0,64.0,45.0,49.0,58.0,50.0,38.0,30.0,27.0,26.0,28.0,35.0,26.0,25.0,29.0,20.0,13.0,11.0,16.0,10.0,16.0,100.0,96.0,87.0,79.0,83.0,74.0,72.0,58.0,67.0,62.0,59.0,52.0,60.0,50.0,62.0,48.0,46.0,42.0,37.0,94.0,68.0,67.0,58.0,50.0,48.0,36.0,29.0,32.0,18.0,22.0,20.0,20.0,13.0
qwen-7b,1048,1000,ood_words,lora,base,base,95.98,100.0,100.0,99.0,96.0,93.0,93.0,92.0,90.0,87.0,88.0,100.0,100.0,100.0,99.0,99.0,98.0,99.0,100.0,98.0,97.0,99.0,100.0,99.0,99.0,93.0,95.0,94.0,89.0,94.0,90.0,88.0,97.0,93.0,89.0,90.0,96.0,94.0,96.0,94.0,92.0,100.0,99.0,99.0,97.0,97.0,93.0,94.0,93.0,95.0,95.0,87.0,95.0,90.0,92.0,99.0,100.0,97.0,98.0,95.0,92.0,92.0,95.0,95.0,93.0,99.0,100.0,100.0,100.0,98.0,98.0,98.0,99.0,98.0,98.0,100.0,99.0,99.0,98.0,98.0,98.0,99.0,97.0,97.0,100.0,100.0,99.0,100.0,98.0,100.0,98.0,97.0,95.0,97.0,94.0,88.0,88.0,92.0
qwen-3b,512,1000,ood_words,lora,meta,meta,95.75,97.0,92.0,88.0,94.0,93.0,95.0,90.0,87.0,87.0,94.0,100.0,99.0,100.0,95.0,98.0,96.0,97.0,97.0,95.0,90.0,95.0,100.0,98.0,97.0,94.0,95.0,90.0,92.0,94.0,96.0,93.0,92.0,92.0,91.0,94.0,96.0,94.0,96.0,89.0,94.0,98.0,98.0,88.0,79.0,86.0,92.0,87.0,92.0,93.0,98.0,95.0,96.0,97.0,94.0,93.0,95.0,98.0,98.0,98.0,97.0,99.0,99.0,100.0,100.0,94.0,98.0,99.0,100.0,100.0,100.0,100.0,98.0,99.0,100.0,99.0,100.0,100.0,99.0,99.0,98.0,99.0,98.0,100.0,94.0,99.0,100.0,98.0,100.0,99.0,99.0,99.0,99.0,95.0,96.0,98.0,98.0,98.0
qwen-7b,1048,1000,ood_constants,lora,base,base,59.34,99.0,91.0,85.0,66.0,61.0,51.0,49.0,47.0,47.0,44.0,100.0,97.0,86.0,82.0,82.0,73.0,66.0,69.0,63.0,60.0,100.0,94.0,88.0,78.0,72.0,63.0,56.0,49.0,46.0,53.0,45.0,40.0,44.0,44.0,39.0,39.0,36.0,31.0,33.0,31.0,94.0,77.0,64.0,67.0,57.0,49.0,43.0,47.0,46.0,44.0,26.0,50.0,53.0,39.0,43.0,48.0,44.0,39.0,28.0,29.0,27.0,26.0,22.0,29.0,100.0,99.0,94.0,91.0,82.0,88.0,74.0,74.0,75.0,80.0,57.0,59.0,64.0,56.0,59.0,57.0,56.0,53.0,45.0,98.0,95.0,90.0,77.0,77.0,65.0,52.0,49.0,43.0,29.0,42.0,30.0,28.0,28.0
qwen-3b,512,1000,ood_constants,lora,meta,meta,81.86,96.0,88.0,81.0,73.0,75.0,77.0,71.0,67.0,67.0,67.0,99.0,91.0,87.0,82.0,82.0,81.0,83.0,71.0,71.0,68.0,89.0,99.0,95.0,96.0,86.0,81.0,76.0,79.0,80.0,77.0,71.0,72.0,71.0,65.0,64.0,74.0,67.0,68.0,71.0,58.0,84.0,82.0,61.0,67.0,75.0,66.0,71.0,66.0,73.0,74.0,65.0,90.0,92.0,93.0,84.0,81.0,93.0,92.0,90.0,94.0,94.0,87.0,79.0,85.0,91.0,97.0,99.0,98.0,98.0,95.0,93.0,96.0,89.0,94.0,90.0,90.0,85.0,84.0,87.0,84.0,77.0,68.0,74.0,98.0,99.0,97.0,88.0,98.0,86.0,87.0,84.0,85.0,72.0,81.0,74.0,74.0,74.0
qwen-3b,512,1000,ood_words,lora,base,base,90.96,100.0,99.0,98.0,98.0,88.0,91.0,88.0,82.0,84.0,87.0,99.0,98.0,99.0,100.0,95.0,99.0,98.0,95.0,94.0,98.0,100.0,97.0,96.0,90.0,92.0,85.0,86.0,84.0,86.0,88.0,84.0,80.0,84.0,85.0,85.0,81.0,87.0,88.0,84.0,84.0,99.0,93.0,93.0,89.0,86.0,89.0,88.0,88.0,85.0,90.0,85.0,79.0,74.0,81.0,86.0,86.0,83.0,84.0,92.0,83.0,84.0,85.0,83.0,85.0,100.0,100.0,99.0,97.0,99.0,99.0,97.0,92.0,97.0,95.0,97.0,97.0,94.0,98.0,94.0,93.0,98.0,95.0,96.0,99.0,97.0,97.0,97.0,95.0,95.0,93.0,95.0,85.0,90.0,86.0,87.0,76.0,88.0
qwen-3b,512,1000,ood_constants,lora,base,base,52.36,95.0,83.0,66.0,61.0,55.0,45.0,40.0,40.0,32.0,37.0,97.0,89.0,82.0,71.0,69.0,73.0,62.0,51.0,61.0,57.0,99.0,94.0,77.0,78.0,62.0,65.0,48.0,47.0,50.0,44.0,44.0,38.0,35.0,34.0,37.0,42.0,32.0,31.0,28.0,29.0,83.0,71.0,51.0,48.0,47.0,44.0,41.0,45.0,37.0,38.0,25.0,36.0,36.0,27.0,37.0,33.0,24.0,30.0,17.0,18.0,17.0,15.0,11.0,21.0,99.0,93.0,86.0,78.0,79.0,73.0,70.0,62.0,64.0,62.0,55.0,45.0,56.0,48.0,53.0,53.0,44.0,45.0,48.0,94.0,79.0,84.0,72.0,63.0,59.0,42.0,48.0,32.0,35.0,32.0,33.0,34.0,27.0
qwen-7b,512,1000,ood_words,lora,meta,meta,96.65,98.0,96.0,92.0,94.0,91.0,92.0,89.0,89.0,89.0,91.0,100.0,99.0,99.0,99.0,99.0,100.0,99.0,99.0,95.0,91.0,95.0,98.0,99.0,98.0,95.0,99.0,93.0,97.0,96.0,98.0,96.0,96.0,98.0,94.0,96.0,96.0,96.0,96.0,96.0,98.0,98.0,96.0,94.0,96.0,94.0,92.0,92.0,95.0,94.0,96.0,95.0,97.0,93.0,94.0,96.0,94.0,100.0,98.0,98.0,99.0,99.0,99.0,95.0,97.0,92.0,96.0,99.0,99.0,100.0,100.0,100.0,97.0,99.0,100.0,98.0,99.0,100.0,99.0,99.0,99.0,100.0,98.0,99.0,94.0,98.0,98.0,99.0,99.0,97.0,99.0,96.0,99.0,100.0,97.0,98.0,97.0,99.0
qwen-3b,1596,1000,ood_words,lora,meta,meta,96.19,99.0,92.0,93.0,91.0,85.0,92.0,90.0,81.0,86.0,89.0,99.0,100.0,98.0,99.0,98.0,99.0,97.0,97.0,94.0,92.0,100.0,98.0,96.0,98.0,96.0,95.0,97.0,90.0,96.0,95.0,91.0,95.0,95.0,89.0,96.0,94.0,96.0,96.0,97.0,94.0,97.0,97.0,92.0,91.0,93.0,93.0,94.0,92.0,97.0,94.0,88.0,96.0,98.0,97.0,96.0,97.0,98.0,100.0,98.0,98.0,99.0,97.0,97.0,100.0,91.0,100.0,98.0,100.0,100.0,99.0,100.0,100.0,97.0,99.0,99.0,99.0,100.0,99.0,100.0,99.0,100.0,96.0,98.0,99.0,98.0,100.0,98.0,99.0,98.0,98.0,99.0,99.0,96.0,100.0,99.0,99.0,100.0
qwen-3b,1596,1000,ood_constants,lora,meta,meta,83.64,92.0,87.0,83.0,75.0,72.0,75.0,75.0,64.0,65.0,64.0,96.0,93.0,94.0,87.0,86.0,85.0,82.0,74.0,76.0,69.0,97.0,97.0,96.0,98.0,94.0,86.0,78.0,80.0,82.0,76.0,77.0,80.0,70.0,67.0,69.0,74.0,71.0,73.0,68.0,72.0,91.0,83.0,69.0,71.0,74.0,69.0,70.0,70.0,69.0,72.0,68.0,96.0,96.0,93.0,92.0,93.0,91.0,93.0,93.0,92.0,93.0,86.0,84.0,88.0,94.0,95.0,98.0,98.0,99.0,97.0,95.0,93.0,92.0,90.0,86.0,89.0,87.0,91.0,83.0,87.0,77.0,69.0,73.0,99.0,99.0,95.0,94.0,98.0,83.0,88.0,90.0,93.0,75.0,82.0,79.0,78.0,72.0
qwen-7b,512,1000,ood_constants,lora,meta,meta,86.61,100.0,90.0,83.0,74.0,72.0,82.0,73.0,68.0,70.0,70.0,99.0,94.0,95.0,89.0,88.0,86.0,81.0,84.0,75.0,78.0,98.0,99.0,98.0,89.0,93.0,92.0,81.0,81.0,87.0,81.0,78.0,82.0,77.0,77.0,73.0,75.0,78.0,78.0,75.0,74.0,92.0,91.0,78.0,80.0,79.0,73.0,64.0,80.0,74.0,73.0,74.0,95.0,93.0,92.0,94.0,98.0,96.0,94.0,95.0,97.0,93.0,96.0,93.0,91.0,95.0,97.0,99.0,97.0,95.0,95.0,97.0,96.0,95.0,94.0,89.0,93.0,92.0,93.0,91.0,86.0,88.0,81.0,79.0,99.0,94.0,98.0,93.0,93.0,89.0,88.0,89.0,89.0,86.0,87.0,85.0,84.0,73.0
qwen-3b,1596,1000,ood_words,lora,base,base,90.84,98.0,99.0,99.0,93.0,91.0,87.0,84.0,79.0,82.0,77.0,100.0,100.0,99.0,97.0,98.0,97.0,97.0,98.0,96.0,99.0,100.0,99.0,97.0,94.0,95.0,90.0,90.0,86.0,90.0,85.0,83.0,87.0,84.0,82.0,90.0,85.0,89.0,81.0,80.0,81.0,97.0,97.0,90.0,96.0,88.0,89.0,91.0,90.0,92.0,91.0,82.0,82.0,82.0,83.0,83.0,91.0,82.0,89.0,82.0,78.0,77.0,84.0,78.0,82.0,100.0,100.0,99.0,97.0,98.0,97.0,96.0,96.0,94.0,93.0,91.0,96.0,99.0,93.0,86.0,93.0,91.0,88.0,92.0,100.0,99.0,98.0,100.0,97.0,98.0,91.0,94.0,95.0,93.0,93.0,83.0,80.0,77.0
qwen-7b,1596,1000,ood_words,lora,meta,meta,98.73,100.0,98.0,98.0,96.0,96.0,95.0,93.0,90.0,94.0,95.0,100.0,100.0,100.0,100.0,99.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,97.0,97.0,99.0,98.0,98.0,99.0,97.0,99.0,99.0,98.0,97.0,97.0,99.0,96.0,100.0,100.0,93.0,97.0,97.0,98.0,97.0,99.0,99.0,98.0,95.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,98.0,100.0,99.0,99.0,100.0,100.0,100.0,100.0,99.0,98.0,100.0,100.0,99.0,100.0,100.0,99.0,99.0,100.0,100.0,99.0,99.0,99.0
qwen-3b,1596,1000,ood_constants,lora,base,base,56.16,100.0,88.0,79.0,57.0,53.0,36.0,42.0,41.0,34.0,42.0,100.0,94.0,89.0,81.0,73.0,73.0,65.0,57.0,57.0,56.0,99.0,93.0,90.0,80.0,67.0,66.0,54.0,54.0,53.0,54.0,42.0,46.0,47.0,33.0,32.0,36.0,37.0,35.0,37.0,26.0,91.0,73.0,65.0,68.0,66.0,50.0,50.0,56.0,52.0,45.0,39.0,45.0,32.0,35.0,36.0,33.0,38.0,32.0,29.0,21.0,23.0,18.0,15.0,21.0,97.0,95.0,88.0,85.0,84.0,79.0,75.0,65.0,69.0,62.0,63.0,57.0,60.0,50.0,58.0,56.0,58.0,52.0,42.0,96.0,90.0,78.0,73.0,70.0,59.0,55.0,39.0,34.0,39.0,24.0,25.0,19.0,21.0
qwen-7b,1596,1000,ood_constants,lora,meta,meta,87.32,100.0,97.0,85.0,74.0,74.0,81.0,65.0,63.0,59.0,68.0,99.0,98.0,94.0,83.0,84.0,87.0,88.0,85.0,85.0,84.0,100.0,100.0,96.0,94.0,90.0,88.0,80.0,84.0,84.0,90.0,82.0,81.0,86.0,80.0,76.0,83.0,78.0,87.0,80.0,76.0,93.0,85.0,76.0,73.0,78.0,72.0,76.0,79.0,73.0,73.0,73.0,99.0,97.0,94.0,98.0,95.0,95.0,97.0,93.0,95.0,96.0,95.0,86.0,91.0,100.0,100.0,99.0,97.0,93.0,96.0,93.0,92.0,95.0,92.0,92.0,87.0,93.0,90.0,89.0,92.0,93.0,82.0,81.0,100.0,98.0,95.0,94.0,92.0,94.0,92.0,86.0,91.0,88.0,83.0,82.0,88.0,81.0
qwen-7b,1596,1000,ood_words,lora,base,base,93.79,99.0,93.0,96.0,96.0,86.0,86.0,81.0,85.0,85.0,86.0,100.0,100.0,100.0,100.0,98.0,97.0,100.0,100.0,99.0,100.0,100.0,97.0,97.0,96.0,96.0,95.0,92.0,96.0,95.0,90.0,82.0,89.0,91.0,88.0,89.0,94.0,92.0,96.0,93.0,84.0,100.0,95.0,93.0,94.0,93.0,89.0,91.0,93.0,92.0,91.0,85.0,84.0,80.0,84.0,87.0,94.0,90.0,91.0,95.0,89.0,86.0,80.0,80.0,81.0,100.0,100.0,100.0,99.0,100.0,99.0,100.0,99.0,99.0,100.0,100.0,99.0,100.0,99.0,98.0,99.0,99.0,100.0,97.0,99.0,99.0,100.0,99.0,96.0,94.0,98.0,94.0,88.0,92.0,97.0,96.0,92.0,91.0
qwen-7b,1596,1000,ood_constants,lora,base,base,56.27,100.0,86.0,81.0,55.0,65.0,45.0,52.0,43.0,35.0,35.0,97.0,100.0,86.0,84.0,86.0,82.0,79.0,71.0,69.0,65.0,97.0,91.0,84.0,73.0,65.0,51.0,48.0,35.0,39.0,49.0,40.0,33.0,33.0,35.0,40.0,34.0,30.0,26.0,29.0,23.0,86.0,80.0,60.0,60.0,47.0,46.0,44.0,43.0,37.0,37.0,23.0,32.0,29.0,37.0,29.0,31.0,24.0,29.0,34.0,23.0,32.0,24.0,28.0,21.0,96.0,98.0,94.0,91.0,83.0,89.0,73.0,70.0,69.0,70.0,65.0,62.0,64.0,63.0,64.0,60.0,62.0,45.0,46.0,100.0,94.0,78.0,64.0,62.0,55.0,47.0,43.0,44.0,45.0,41.0,41.0,34.0,39.0
qwen-1.5b,1048,100,normal,lora,base,meta,66.54,71.0,61.0,45.0,34.0,36.0,31.0,44.0,33.0,34.0,43.0,92.0,92.0,95.0,73.0,79.0,71.0,86.0,80.0,79.0,85.0,100.0,89.0,75.0,69.0,65.0,55.0,46.0,59.0,45.0,47.0,40.0,47.0,41.0,46.0,48.0,47.0,49.0,46.0,45.0,45.0,64.0,50.0,36.0,37.0,41.0,39.0,33.0,45.0,51.0,54.0,44.0,61.0,64.0,69.0,66.0,71.0,68.0,73.0,74.0,65.0,79.0,64.0,53.0,60.0,99.0,97.0,99.0,100.0,97.0,96.0,95.0,96.0,93.0,90.0,89.0,91.0,92.0,94.0,96.0,92.0,93.0,86.0,86.0,81.0,84.0,73.0,69.0,67.0,62.0,65.0,61.0,76.0,58.0,63.0,62.0,67.0,56.0
qwen-1.5b,1048,100,ood_constants,lora,base,meta,51.15,49.0,36.0,34.0,30.0,31.0,32.0,24.0,33.0,25.0,31.0,85.0,85.0,82.0,67.0,71.0,63.0,55.0,64.0,60.0,59.0,99.0,94.0,79.0,70.0,64.0,50.0,42.0,47.0,49.0,46.0,31.0,32.0,39.0,25.0,29.0,36.0,27.0,31.0,25.0,24.0,65.0,49.0,32.0,29.0,26.0,34.0,32.0,32.0,43.0,34.0,30.0,52.0,37.0,47.0,44.0,44.0,41.0,41.0,39.0,33.0,42.0,33.0,24.0,28.0,91.0,97.0,94.0,90.0,92.0,90.0,85.0,82.0,89.0,86.0,81.0,69.0,74.0,68.0,73.0,67.0,62.0,63.0,58.0,70.0,37.0,43.0,48.0,51.0,32.0,41.0,37.0,45.0,25.0,37.0,45.0,44.0,30.0
qwen-1.5b,1048,100,ood_words,lora,base,meta,65.07,73.0,57.0,48.0,42.0,35.0,39.0,34.0,36.0,30.0,38.0,87.0,90.0,86.0,78.0,74.0,79.0,81.0,82.0,82.0,85.0,99.0,87.0,72.0,70.0,58.0,47.0,42.0,58.0,54.0,43.0,30.0,49.0,43.0,42.0,41.0,47.0,51.0,55.0,44.0,50.0,68.0,46.0,35.0,33.0,40.0,33.0,42.0,37.0,51.0,54.0,44.0,68.0,68.0,65.0,68.0,62.0,65.0,75.0,61.0,69.0,63.0,64.0,53.0,49.0,99.0,96.0,97.0,93.0,96.0,94.0,95.0,89.0,92.0,93.0,92.0,93.0,92.0,94.0,92.0,85.0,86.0,85.0,86.0,83.0,72.0,72.0,64.0,71.0,64.0,64.0,58.0,71.0,59.0,61.0,61.0,59.0,53.0
